Time,ObjName,PosX,PosY,PosZ,RotX,RotY,RotZ,ObjName,PosX,PosY,PosZ,RotX,RotY,RotZ
24,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
29,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
245,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
264,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
273,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
279,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
285,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
291,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
297,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
305,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
313,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
322,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
330,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
338,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
346,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
357,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
362,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
370,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
378,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
386,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
396,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
403,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
411,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
418,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
429,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
433,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
437,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
445,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
449,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
453,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
457,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
464,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
472,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
475,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
480,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
488,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
492,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
499,Plane,1.239507,0.9505025,-9.871695,0,0,0,HMD,0,1.6,-11,0,0,0
